Hours,ng_ccs_WECC,nuclear_WECC,wind_WECC,solar_WECC,ng_ccs_ERCOT,nuclear_ERCOT,solar_ERCOT,wind_ERCOT
4819,1,1,0.143,0.174333333,1,1,0.041,0.5772
4820,1,1,0.309,0.066,1,1,0.0006,0.669
4821,1,1,0.848,0,1,1,0,0.7248
4822,1,1,0.762,0,1,1,0,0.7258
4823,1,1,0.527,0,1,1,0,0.7032
4824,1,1,0.526,0,1,1,0,0.6762
4825,1,1,0.439,0,1,1,0,0.6602
4826,1,1,0.36,0,1,1,0,0.644
4827,1,1,0.369,0,1,1,0,0.6254
4828,1,1,0.294,0,1,1,0,0.592
4829,1,1,0.238,0,1,1,0,0.54
4830,1,1,0.244,0.023666667,1,1,0.0006,0.4766
4831,1,1,0.121,0.26,1,1,0.0514,0.3134
4832,1,1,0.026,0.412666667,1,1,0.168,0.5076
4833,1,1,0.019,0.526333333,1,1,0.3124,0.5278
4834,1,1,0.016,0.591,1,1,0.4438,0.4206
4835,1,1,0.057,0.616333333,1,1,0.5428,0.3
4836,1,1,0.092,0.655333333,1,1,0.6006,0.2842
4837,1,1,0.099,0.661333333,1,1,0.6122,0.3382
4838,1,1,0.202,0.670333333,1,1,0.5824,0.4132
4839,1,1,0.456,0.640333333,1,1,0.5178,0.4834
4840,1,1,0.528,0.577,1,1,0.4144,0.5304
4841,1,1,0.368,0.534666667,1,1,0.2898,0.564
4842,1,1,0.463,0.411333333,1,1,0.1568,0.601
4843,1,1,0.588,0.241,1,1,0.0452,0.6378
4844,1,1,0.609,0.074,1,1,0.0008,0.6936
4845,1,1,0.701,0,1,1,0,0.745
4846,1,1,0.609,0,1,1,0,0.7352
4847,1,1,0.614,0,1,1,0,0.7346
4848,1,1,0.394,0,1,1,0,0.7314
